name,url,email,description,website,instagram,facebook,twitter,youtube,status,,,,,,,,,,,,,,,,,,
Biomedical Engineering Society,https://terriercentral.bu.edu/organization/biomedical-engineering-society,bmes.bu@gmail.com,"The Mission of the BMES is to build and support the biomedical engineering community, locally, nationally and internationally, with activities designed to communicate recent advances, discoveries, and inventions; promote education and professional development; and integrate the perspectives of the academic, medical, governmental, and business sectors.",http://sites.bu.edu/bmes/,https://www.instagram.com/bu_bmes/,https://www.facebook.com/groups/119587464817239,,,success,,,,,,,,,,,,,,,,,,
BIPOC Mental Health Collective,https://terriercentral.bu.edu/organization/bipocmhc,cavelles@bu.edu,BIPOC Mental Health Collective is a communal space for racial minorities to nurture their mental health by sharing experiences and resources.,http://bipocmhc.wordpress.com,https://www.instagram.com/bipocmhc/,,,,success,,,,,,,,,,,,,,,,,,
Black Business Student Association,https://terriercentral.bu.edu/organization/black-business-student-association,bbsa@bu.edu,"Boston University's Black Business Student Association (BBSA) is an active resource on campus that bridges the opportunity gap for students of color through professional development and educational programming. Our undergraduate members gain a wide breadth of career advice, corporate experience, and a supportive community network of current students, alumni, professionals, and corporate partners. BBSA strives to also educate on the value of diversity and be a strong advocate of diversity and inclusion both within the Questrom School of Business and the greater Boston University Community.",,http://www.instagram.com/bubbsa,,http://twitter.com//twitter.com/BBSABu,,success,,,,,,,,,,,,,,,,,,
BlackBox: Boston University's Black Film Society,https://terriercentral.bu.edu/organization/blackbox,bbox@bu.edu,"BlackBox is Boston University's Black film society. BlackBox invites Black and P.O.C filmmakers to pitch stories that might be scarier to share with those that don't have the experience of being in the minority. This safe space will not only provide a home away from home to those that might be struggling to find their community in BU's massive student population, but facilitate networking opportunities, which is essential for a career field like film and television production. BlackBox wants to create a space where Black students can discover and develop interests and skills in the film space.",,https://www.instagram.com/blackboxbu?igsh=MWNsYXJ5YWNtNXBldw==,,,,success,,,,,,,,,,,,,,,,,,
National Society of Black Women in Medicine,https://terriercentral.bu.edu/organization/blackwomeninmedicine,bu.nsbwm@gmail.com,"The National Society of Black Women in Medicine, as a national student and professional based organization, thereby dedicate itself to the development of intensive programs for increasing the participation of Black women in the fields of healthcare and science. These programs will be initiated both within and outside the institution community and will serve to strengthen relationships between the professional industry and the black community. Members of this organization are encouraged to join and participate in their individual professional societies. This organization will endeavor to provide general counseling to all members. Applications are open in the Fall of each academic year.",https://www.blackwomeninmedicine.org/,https://www.instagram.com/bu.nsbwm/,,,,success,,,,,,,,,,,,,,,,,,
Blockchain Club,https://terriercentral.bu.edu/organization/blockchain-club,bub@bu.edu / sjc@bu.edu,"We are an inclusive, multifaceted community dedicated to equal education in the web3 space. We aim to foster creativity, build a diverse network, and shape a decentralized future together. Through research, development, and building companies - BU Blockchain aims to act as a springboard for all students to unleash their potential in the field.",https://bublockchain.com/,https://www.instagram.com/bu_blockchain/,,,,success,,,,,,,,,,,,,,,,,,
Board Games Club,https://terriercentral.bu.edu/organization/board-games-club,bubgc@bu.edu,"Board Games Club is a catch-all organization for all your non-digital gaming needs. If it can be played on a table (or even not), someone in our club will be happy to play it with you! You can also join our mailing list or click here to join our discord to keep up with any future events, meetings, and information related to BGC. You can also follow us on Instagram at @buboardgames. (1) General meetings are held 7-11pm on Thursdays and are open to BU community members and members of the public with BU connections (i.e., current students, staff, or alumni). Up-to-date information on club meeting location is sent shortly before meetings, both through the mailing list and through Discord. During general meetings, members are free to play from the library of games maintained by the club or to bring games from their own personal collections. These games typically range from lighter party games (Codenames, Spyfall, Avalon, etc.) to medium and heavy weight games (Betrayal, Power Grid, Terraforming Mars, etc.). ??2) We try to host Trivia Nights, Escape Rooms, and Murder Mystery Events yearly plus many more events to keep our community engaged and entertained. If any of those events sound interesting to you, you should follow us or join our discord and we will keep you updated! (3) Pitch nights for Tabletop Role Playing Games are held periodically, typically at the beginning of each semester. These events are open to all experience levels and gaming backgrounds and are a great way to jump into the hobby. Interested DM/GMs pitch their campaigns to interested players and are matched into parties based on preferences, schedules, and commitment levels. Other TTRPG offerings are held throughout the semester based on member interest. ??? (4) Card game specific events and meetings are held contingent on member interest. Card games such as Magic: The Gathering, Yu-gi-oh, Netrunner, and Pokemon TCG are often played at general meetings alongside traditional board games, and tournaments for the most popular of these games are held when possible. ??? If you are interested in any other non-digital gaming categories (such as Wargaming, longer/legacy games like Diplomacy, traditional games like Mahjong and Go, etc.), BGC is happy to work with you to promote and organize related events or generate interest at general meetings. Feel free to contact us if you have something specific you'd like to play.",,https://www.instagram.com/buboardgames/,,,,success,,,,,,,,,,,,,,,,,,
On Beat,https://terriercentral.bu.edu/organization/bob,dejaford@bu.edu,"BU on Beat is a student organization dedicated to promoting the vibrant culture of house music within our university community. Our mission is to provide a supportive and inclusive environment where aspiring DJs and electronic music enthusiasts can come together to learn, collaborate, and share their passion for house music. Through collaboration and mutual learning, we aim to empower our members of varying levels to develop their skills, express their creativity through mixing events, and contribute positively to the local music scene. Anyone is welcome, beginner or otherwise!",,https://www.instagram.com/buonbeat/,,,,success,,,,,,,,,,,,,,,,,,
BostonHacks,https://terriercentral.bu.edu/organization/boston-hacks,contacts@bostonhacks.io,"BostonHacks is a collection of students who work towards promoting the hackathon spirit within and outside of BU. Our members are involved in web-, mobile-, and hardware-based development, and come from many different colleges within BU. We cater to students of all skill levels and majors and foster an educational environment where members collaborate and help each other. Our main focus is organizing BU's most prominent annual hackathon in November, where students from all across the country can come to innovate and create projects for 24 hours. Outside the hackathon, we host workshops to help the BU public learn and develop new skills. Sometimes, these workshops will consist of free food and swag!",https://bostonhacks.org,https://www.instagram.com/bostonhacks/,https://www.facebook.com/bostonhacks,,,success,,,,,,,,,,,,,,,,,,
Boston Political Review,https://terriercentral.bu.edu/organization/boston-political-review,gjmckean@bu.edu,"The Boston Political Review is Boston University's premier political publication founded in 2014.??We are a nonpartisan student-run platform for the BU community to express its voice and to give our readers a refreshing source of unbiased information. The BPR typically consists of five sections: Global Politics, U.S. Politics, Local Politics, Social &amp; Business. and Health &amp; Science. ??Our writing staff strikes a harmonious balance between a typical news story and an academic paper, as their articles contain elements of traditional student journalism and analytical deep dives. The BPR is committed to creating an informed student body and maintaining a publication with integrity that upholds the key tenets of student journalism.",http://www.bostonpoliticalreview.org,https://www.instagram.com/bostonpoliticalreview/,http://facebook.com/facebook.com/bostonpoliticalreview/,http://twitter.com/twitter.com/The_BPR,,success,,,,,,,,,,,,,,,,,,
BosTones,https://terriercentral.bu.edu/organization/bostones,bostones@bu.edu,"Each semester, the BU BosTones brings a fresh energy to the Boston a cappella scene. We are a co-ed group of undergraduates belting out sizzling arrangements and killer harmonies. We have placed first at the Northeast International Collegiate A Cappella semi-final, becoming the first international finalist from BU since 2005. We perform a winter and spring concert each year, plus benefit concerts, guest appearances, campus events, and more! Going forward, we hope to soon record our next studio album and continue to represent Boston University on an international level. Check out our website: thebostones.com, or email us at thebostones@gmail.com! We'd love to hear from you - the bostones!",,https://www.instagram.com/thebostones/,http://facebook.com/thebostones,http://twitter.com/thebostones,,success,,,,,,,,,,,,,,,,,,
BU Student Organizations,https://terriercentral.bu.edu/organization/bostonuniversity,sao@bu.edu,"With 450+ student organizations, it's easy to pursue a favorite hobby or get a taste of something different. We'll help you find students who share your interests&mdash;or get the ball rolling with you to create a new group. If you're looking to dovetail your pastimes with your long-term goals, a chat with us can help. Drop by and share what makes you tick, or check us out on Facebook and Twitter.",http://www.bu.edu/studentactivities,,,,,success,,,,,,,,,,,,,,,,,,
Arab Students in Business at BU,https://terriercentral.bu.edu/organization/bostonuniversityarabstudentsinbusiness,asb.bostonu@gmail.com,,,,,,,success,,,,,,,,,,,,,,,,,,
"University Blood Initiative, BU Chapter",https://terriercentral.bu.edu/organization/bostonuniversityubi,bsolot@bu.edu,"Hospital blood shortage is a critical, nationwide issue that jeopardizes the care of countless patients. This issue is complex and multifaceted, however, two central components are a lack of diversity in donors and a low number of young blood donors. We seek to educate our generation on the nature of the blood shortage and motivate people to take action. Our organization builds meaningful connections with our local youth, and through this, works to increase awareness and engagement of potential donors. By collaborating closely with local blood centers, encouraging people to donate there, and organizing blood drives here on our campus, we seek to empower and support our nearby hospitals. Through the formation of a sustainable blood supply to these centers, a lasting and impactful relationship is strengthened within the community.",https://www.universitybloodinitiative.org/about,https://www.instagram.com/bostonubloodinitiative/?igshid=YmMyMTA2M2Y=,,,,success,,,,,,,,,,,,,,,,,,
BPM,https://terriercentral.bu.edu/organization/bpm,bu.sorian@gmail.com,"The name ""BPM"" not only represents our college organization but also carries a deeper meaning. BPM stands for ""Beats Per Minute,"" which is a fundamental element in music. It refers to the tempo or speed at which a musical piece is played, providing the rhythmic foundation that keeps the music moving and grooving. In choosing this name, we emphasize our dedication to delivering energetic and captivating performances that resonate with our audience and keep their hearts racing in time with the beat. In doing so, we help students who want to learn how to write their original songs and produce music. We do this by providing music software (FL Studio, Cubase, etc.), hosting information sessions open to BU students, and helping students one-on-one during weekly meeting sessions. We also match members (singers) with producers to collaborate and make their own music together. Second, we host yearly and semester-based music performances to provide stage presence and experience. We perform a total of 15-20 songs, with more than half of the songs being fully original pieces from our singer-songwriters, producers, sound engineers, and instrumentalists. We host busking performances across the Boston area to gain more stage experience, have fun, and collaborate with other Korean organizations to promote music. The genres change based on the individual preferences of our artists, but the most popular ones are Pop, K-Hiphop, and R&amp;B. In conjunction with that, we collaborate with other Korean organizations such as KOMMA, QK, and KISA to host events that teach students how easy and fun it can be to produce their own music. At BPM, we believe in the power of music to transcend boundaries and connect people from diverse backgrounds. Through our performances, we strive to showcase the vibrant sounds of Korean music and culture, while also exploring and celebrating various genres. Our repertoire spans a wide range of musical styles, ensuring that there's something for everyone to enjoy and appreciate.",,https://www.instagram.com/bu_bpm/,http://facebook.com/busorian,,https://www.youtube.com/channel/UC7hldERrgYXMEjJ69TcqDmw,success,,,,,,,,,,,,,,,,,,
Beta Psi Omega,https://terriercentral.bu.edu/organization/bpsio,bpsio@bu.edu,"We are a professional co-ed biology fraternity that provides leadership opportunities, expands social networks, and generates a community of equally driven students.",https://www.bpsio.com/,https://instagram.com/bubetapsiomega?igshid=pr4q8uqz01j2,https://www.facebook.com/BUBetaPsiOmega/,,,success,,,,,,,,,,,,,,,,,,
Brazilian Association,https://terriercentral.bu.edu/organization/brazilian-association,,"The Boston University Brazilian Association (aka, BUBA) fosters Brazilian cultural appreciation and exploration by organizing exciting and engaging activities. Built on a welcoming philosophy, this club is open to Brazilians and non-Brazilians, speakers of Portuguese and non-speakers alike.",,https://www.instagram.com/brasa.bu/,https://www.facebook.com/BUBrazil/,,https://www.youtube.com/channel/UC5Lce64NQW-YvsIOewt-Y0w,success,,,,,,,,,,,,,,,,,,
Breathe BU,https://terriercentral.bu.edu/organization/breathebu,BostonUBreathe@gmail.com,"The Breathe BU Wellness Club exists to create a yoga-focused inclusive, uplifting space where Boston University students can explore wellness in all its forms??hysical, mental, and emotional. From yoga flows and strength workouts to mindful journaling and an online platform, we aim to empower students to build sustainable, joyful habits that support their well-being both on and off campus.",,,,,,success,,,,,,,,,,,,,,,,,,
BridgeBU,https://terriercentral.bu.edu/organization/bridgebu,bridgebostonu@gmail.com,"BridgeBU is the Boston University chapter of BridgeUSA, a student-led organization that aims to combat political polarization by fostering a political culture of respect and open-mindedness on college campuses nationwide. Here at BU, we hope to ""bridge"" divides on campus by hosting discussions and other events that give all students a platform to voice their opinions on a wide range of issues and current events. We stop trying to win short-term battles and look forward to finding long-term solutions.",https://www.bridgeusa.org/,https://www.instagram.com/bridge.bu/,,,,success,,,,,,,,,,,,,,,,,,
Brothers United ,https://terriercentral.bu.edu/organization/brothersunited,brotheru@bu.edu,,,https://www.instagram.com/brothersunitedbu/,,,,success,,,,,,,,,,,,,,,,,,
Student Activities Office (SAO),https://terriercentral.bu.edu/organization/bu-central,sao@bu.edu,"The Student Activities Office is here to serve the student organization experience by supporting officers, leaders, and general members, in their work within their student organization. SAO organizes trainings, development workshops, financial support, and more for student organization leaders. SAO also plans and manages the Weeks of Welcome events that welcome new and returning students to campus in the beginning of each semester. At the end of each year SAO plans Senior Week to celebrate the achievements of the senior class and the community they have made on campus.",,https://www.instagram.com/bustudentactivities,,,,success,,,,,,,,,,,,,,,,,,
Campus Closet BU,https://terriercentral.bu.edu/organization/bu-closet,bostonucloset@gmail.com,"Campus Closet (formerly BU Closet) is Boston University's shared closet, empowering students to become conscious consumers through free, sustainable, and accessible clothing swaps. We regularly host clothing drives and swaps, offering students a chance to connect, collaborate, and engage in circular consumption. More than a resource for sustainable fashion, Campus Closet is a platform for creative expression and community building, bridging campus organizations to foster inclusivity and environmental stewardship.",,,,,,success,,,,,,,,,,,,,,,,,,
Himalayan Student Association,https://terriercentral.bu.edu/organization/bu-hsa,hsa@bu.edu,"The Boston University Himalayan Student Association, BUHSA, will promote community for Himalayan students to expand inclusivity on Boston University's campus. HSA will partake in cultural events, peaceful demonstrations, and educational events to educate others about Himalayan culture. Students can look forward to events such as our Annual MOMO Night, food events, and cultural movie screenings. We welcome students of all backgrounds to diversify and embrace a new community at BU!",,https://www.instagram.com/bu.hsa/,,,,success,,,,,,,,,,,,,,,,,,
Naturally,https://terriercentral.bu.edu/organization/bu-naturally,natural@bu.edu,"The Boston University Chapter of BU Naturally founded April 29th, 2019. We are a natural hair based organization that promotes diversity, inclusivity, and love of all natural hair types on campus and in the community.",https://bunatural.wixsite.com/site,https://www.instagram.com/bu.naturally/,,http://twitter.com/campuscurlz.bu,,success,,,,,,,,,,,,,,,,,,
Nigerian Students Association,https://terriercentral.bu.edu/organization/bu-nigerian-students-association,adedoyin@bu.edu,"The Nigerian Students Association of Boston University is committed to fostering a community of Nigerian students on campus. It serves as a home away from home for those wanting to express their culture and explore their roots, while also serving as an open space for others to learn about the culture. It will also serve as a space to educate members of issues Nigeria is currently facing in hopes of promoting social activism among the community. The goal for BU NSA is to create a safe environment for students to share their love and appreciation for Nigerian culture while celebrating our similarities and differences as university students. We also aim to foster an open and accepting learning environment to give the Black Boston community a platform to elevate their voices.",,https://www.instagram.com/bu_nsa,,,,success,,,,,,,,,,,,,,,,,,
Quiz Bowl Club,https://terriercentral.bu.edu/organization/bu-quiz-bowl,quizbowl@bu.edu,"Quiz Bowl is a competition where teams go head-to-head to answer trivia questions first and try to score the most points against the other team. Boston University Quiz Bowl club is an organization where people who are interested in academic trivia can come together to discuss their favorite topics, practice, and prepare for Quiz Bowl tournaments. Information about local or online tournaments will be discussed and practice/study sessions will be held at meetings. The club is open to anyone and no prior experience of Quiz Bowl is required. The mission of the Boston University Quiz Bowl club is to create a friendly environment where people can have fun competing against each other, study/learn for Quiz Bowl, and compete in intercollegiate tournaments.",http://linktr.ee/buquizbowlclub,https://www.instagram.com/buquizclub/,,,,success,,,,,,,,,,,,,,,,,,
Students for Israel at BU,https://terriercentral.bu.edu/organization/bu-students-for-israel,gstar31@bu.edu,"BU Students for Israel (BUSI) is a student organization dedicated to educating and engaging students in Israeli culture, politics, and history. We host Israel-related events and speakers, lead meaningful discussions on a host of topics, and celebrate Jewish holidays as a community of diverse backgrounds and perspectives. As the only pro-Israel club on campus, we are committed to bringing a wide breadth of political and cultural ideas to the broader Boston University community, while supporting the Jewish homeland. ??,https://linktr.ee/studentsforisrael,https://www.instagram.com/buforisrael/,https://www.facebook.com/IsraeliClubBU/,,,1,success
Women in Data Science,https://terriercentral.bu.edu/organization/bu_wids,bostonuwids@gmail.com,Women in Data Science (WiDS) at Boston University is a chapter of the worldwide WiDS initiative", originally launched by Stanford University to inspire and support women in the field of data science. Our mission is to foster an inclusive community that empowers women and gender-diverse individuals pursuing careers or interests in data science, analytics, AI, and related fields. At BU, WiDS provides a platform for students to gain hands-on experience through workshops, hackathons, and collaborative projects. We connect members with industry professionals, alumni, and researchers to build strong networks and open doors to mentorship and career opportunities. Whether you're just beginning to explore data science or already deep in the field, WiDS is a space where you can learn, lead, and grow. As part of a global network that spans more than 150 countries, our members benefit from access to international conferences, global datathons, and educational resources. We are committed to closing the gender gap in tech and believe that diverse perspectives drive innovation. Everyone is welcome&mdash;WiDS is open to all students regardless of gender identity or experience level. Join us as we learn, build," and shape the future of data together!""",,,,,,1,success
American Civil Liberties Union at BU,https://terriercentral.bu.edu/organization/buaclu,aclubu@bu.edu,"The ACLUBU is a student-led organization committed to educating and empowering students on civil rights, civil liberties, and civic engagement. Through thoughtful discussion, advocacy initiatives, and community action, we aim to foster a deeper understanding of the legal, political, and social issues that shape our world. Rooted in the mission of the American Civil Liberties Union (ACLU), our club provides a space for students to explore pressing issues&mdash;such as voting rights, racial justice, reproductive freedom, LGBTQIA+ rights, criminal legal reform, and more&mdash;and equips them with the tools to become agents of change in their communities. As a collegiate organization affiliated with the ACLU of Massachusetts, ACLUBU offers students the opportunity to engage in real-world advocacy and civics education beyond the classroom. Members gain hands-on experience in organizing, learn the fundamentals of nonprofit and legislative work, and build meaningful connections with ACLU staff, community partners, and fellow student advocates. Whether you're passionate about justice, interested in legal systems, or simply looking to make a difference, BUACLU is a welcoming space to learn, grow, and take action. Learn more about ACLU issue areas here: https://www.aclum.org/en/issues",https://www.aclum.org/,,,,,success,,,,,,,,,,,,,,,,,,
Alternative Investments Group,https://terriercentral.bu.edu/organization/buaig,buaig@bu.edu,"BU Alternative Investments Group (BUAIG) aims to enhance our community's knowledge of non-public investments and create a networking platform for sharing ideas and interests. These investments include hedge funds, commodities, real estate, and private equity, all of which offer significant career opportunities. We find it to be very important for students to be educated on these topics, as it will play a huge role in their career paths. BUAIG supports its members with a robust curriculum, centered around a semester-long case competition. Throughout the semester, members work in teams to develop an investment thesis for the case, while receiving feedback from mentors and professors. Members also gain professional development through keynote speakers, networking events, and a weekly job opportunities mailing list. Each semester concludes with students presenting their work to a panel of judges for constructive feedback. Join our mailing list to stay informed about meetings and case competition opportunities. Note that requesting membership on Terrier Central does not automatically add you to the mailing list. If you have any questions, please contact us at buaig@bu.edu.",https://bit.ly/BUAIG-2024,https://www.instagram.com/bualtinvestments/,,,,success,,,,,,,,,,,,,,,,,,
Undergraduate Architecture Association,https://terriercentral.bu.edu/organization/buarchitecture,uaa@bu.edu,"The UAA is an organization for undergraduate students interested in architecture, design, urbanism, and real estate. Our goal is to foster a community that supports students in furthering their study of the built environment through themed discussions, professional panels and workshops, events, and field trips.",,http://www.instagram.com/buarchitecture,https://www.facebook.com/groups/699316190963529,,,success,,,,,,,,,,,,,,,,,,
After School Newsletter,https://terriercentral.bu.edu/organization/buas,buafterschool@163.com,"BUAS is a newsletter club dedicated to encourage BU Chinese international students engage in local campus activities, explore Boston culture, and connect with other students through publishing newsletters, social media posts, and pop-up events.",,,,,,success,,,,,,,,,,,,,,,,,,
Automotive Club,https://terriercentral.bu.edu/organization/buautomotiveclub,autoclub@bu.edu,"BU Automotive Club acts as a forum that enables automotive enthusiasts to discuss, debate, participate and fulfill their motor vehicle related desires to the fullest. Podcasts, debates, quizzes, contests are some of the ways through which Terriers would show their passion for vehicles. Additionally, we hope to have weekly releases of articles/podcasts from the members of the club where they would write/talk to express their knowledge about motor vehicles and share their opinions on their desired vehicles to provide a personal touch. We would also organize trips to auto expos, automotive factories or racing events and plan on road trips during the weekends to places in and around Boston. These road trips are planned to take a break from the academic life and quench the thirst for driving many terriers would have! We look forward to conducting many more driving related events in order to fulfill the driving desires of many students at BU. Moreover, we would bring in speakers throughout the semester to interact and have fun conversations with car lovers from our club and around the globe!",,http://instagram.com/buautoclub,,,,success,,,,,,,,,,,,,,,,,,
Association for Women in Mathematics: Student Chapter,https://terriercentral.bu.edu/organization/buawm,buawmchapter@gmail.com,"BUAWM works to increase the access that underrepresented groups have to the study of mathematics and to a supportive math community, with a focus on women undergraduate math students (but non-majors are welcome!). We aspire to be an organization that embraces diversity, inclusion, and equity so that our members can enjoy a welcoming, collaborative community. We accomplish this through hosting social, academic, &amp; professional math events, as well as hosting initiatives &amp; projects that promote our mission. These events &amp; projects range from faculty panels to movie nights to collaborating with the departmental Antiracism Speaker Series to an introductory course study-buddy system. We work jointly with MAA. Whether you have a passing interest in mathematics, or a passion for the subject, or an interest in math activism, we'd love to have you!",,https://www.instagram.com/bu.awm/,http://facebook.com/AWMatBU,http://twitter.com/BUAWM,,success,,,,,,,,,,,,,,,,,,
Barbell Club,https://terriercentral.bu.edu/organization/bubarbell,Miaheim@bu.edu,"Boston University Barbell Club aims to become the most reputable resource for fitness, weight training, and exercise science information as well as be a community and social outlet for training enthusiasts. We are accomplishing these goals through: building a strong community that members can rely on, alleviating the weight training intimidation barrier, and ensuring an inclusive and supportive environment. We also support and encourage all competitive lifting interests through student led teams.",,https://www.instagram.com/bubarbell/?hl=en,,,,success,,,,,,,,,,,,,,,,,,
BU BassLine A-Capella,https://terriercentral.bu.edu/organization/bubassline,bubassline@gmail.com,"BU BassLine is an all gender a cappella group made by people of color for people of color. Our goal is to empower BIPOC students at BU, helping them find their voice and a community through music. BU BassLine is committed to partnering with clubs and organizations that upholds diversity, equity, and inclusion values. Our repertoire will consist of songs by POC artists with genres ranging from R&amp;B, soul, funk, and more.",https://bubassline.wixsite.com/acappella,https://www.instagram.com/bubassline/,https://www.facebook.com/bubassline/,,,success,,,,,,,,,,,,,,,,,,
Beatboxing at BU,https://terriercentral.bu.edu/organization/bubbx,bubbx@bu.edu,The core purpose of the BU Beatboxing club is to enhance the BU community through showcasing the under-appreciated art form/subculture of beatboxing through providing teaching and education to musically inclined students to continue practice.,,https://www.instagram.com/bu_beatbox/,,,,success,,,,,,,,,,,,,,,,,,
Burmese Student Association ,https://terriercentral.bu.edu/organization/bubursa,bostonubursa@gmail.com,The Boston University Burmese Student Association is an all-inclusive student association primarily aiming to help promote Myanmar's culture and tradition to the BU community through exciting interest information sessions and cultural events.,,https://www.instagram.com/bostonubursa/,https://www.facebook.com/Boston-University-Burma-Student-Association-BURSA-106717118813400,,,success,,,,,,,,,,,,,,,,,,
Business Law Club,https://terriercentral.bu.edu/organization/bubusinesslawclub,bostonubizlaw@gmail.com,"The Boston University Business Law Club is organized to bring more awareness to the Law field. Through our classes, we have recognized a need for an organization that encourages people to challenge different ideas in a safe environment. Many people are interested in law, but aren't sure if they want to pursue taking a class in it for an entire semester. We wanted to bridge that gap and share opportunities to engage in the Boston law community as well as offer a stress free environment where people can get a glimpse into what law really entails. For more information about the club please email bostonubizlaw@gmail.com or DM on Instagram @bubusinesslaw",,https://www.instagram.com/bubusinesslaw/,https://www.facebook.com/BUBusinessLaw,,,success,,,,,,,,,,,,,,,,,,
CleanTech Club,https://terriercentral.bu.edu/organization/bucleantech,clntech@bu.edu,"BU CleanTech Club aims to create an engineering-focused community of students and faculty interested in the advancement of environmentally sustainable technology. JOIN OUR SLACK: https://join.slack.com/t/bucleantechclub/shared_invite/zt-1gcfukvn5-z1_z7gma9KCRYRBB2o8iBA SUBSCRIBE TO OUR NEWSLETTER ""CleanTech"" or ""cleantech"" is an all-encompassing term that involves much more than renewable energy. Advanced materials, sustainable protein, electric vehicles, water treatment, waste management, geoengineering, and indoor farming are some of the many industries in the cleantech space. As this technology continues to play an ever-increasing role in the fight against climate change, the CleanTech Club will offer a hub of discussion and application to better prepare students to face this global crisis. Our goals as an organization are as follows: Increase the presence of cleantech knowledge within the BU community. Inspire sustainable innovation through engineering and technology. Invite students, faculty, and industry professionals to learn from one another. Impact the local and global environment positively and directly. As we continue into this age where there is an ever-increasing growth of advanced technology and an equally increasing need to aggressively address global environmental issues, the Boston University CleanTech Club strives to create a space on campus where both the discussion of these issues and the actions necessary to help fix them are encouraged, allowing for students of all disciplines to come together and make a difference.",https://sites.bu.edu/cleantech/,https://instagram.com/bucleantech,https://facebook.com/bucleantechclub,,,success,,,,,,,,,,,,,,,,,,
College Republicans at Boston University,https://terriercentral.bu.edu/organization/bucollegerepublicans,bucollegerep@gmail.com,"The Boston University College Republicans (BUCR) is a student organization dedicated to promoting conservative values and fostering a free marketplace of ideas on campus. Our weekly meetings focus on engaging with current political issues from a Republican perspective, aiming to find common ground and strengthen our understanding of differing viewpoints. We also host a range of events, including debates and watch parties, to unite conservative students and create a stronger political culture at BU. Follow us on Instagram for updates on upcoming events and activities!",https://www.bucollegerepublicans.com/,https://www.instagram.com/bostonucollegerepublicans/,,,,success,,,,,,,,,,,,,,,,,,
Graduate Chinese Students and Scholars Association - 47600,https://terriercentral.bu.edu/organization/bucssa,isgrace@bu.edu,"BU Chinese Student Scholar Association (CSSA) was founded in 1994. It is a nonprofit organization of Chinese students and scholars who are currently studying or working at Boston University. In addition to promote academic and cultural exchange with other communities of different cultures, the ultimate goal of BU CSSA is to enhance the communication, interaction, understanding and friendship in the BU Chinese community.",,,,,,success,,,,,,,,,,,,,,,,,,
Data Science Association,https://terriercentral.bu.edu/organization/budsa,budsa@bu.edu,"We are an undergraduate academic club committed to providing students with high-quality data sciencetools and resources they need to make an impact in the ever-changing world of big data. By creatingopportunities, expanding accessibility, and building communities, we support the growth of ourmembers and help build an active and energetic environment for passionate data scientists.Whether you are a student at CAS, SMG, SHA, COM, ENG, or any other College at Boston University, youwill encounter data science and statistics. You might deal with raw data, read and learn from summarized data relevant to your field of study, or even take courses in data science or statistics. The ubiquity of data science and its applications to academic and professional disciplines have no limits. Outside of the academic realm, data science is becoming an increasingly indispensable part of our everyday lives. When you read an article online, or research a topic for your class paper, you are very likely to see data science methods or statistical measurements used in support of the arguments of interest. For these reasons, we believe that data science literacy is crucial in the world of information and technology that we now live in. It is essential to succeed academically, build a foundation for your career, and to preserve your integrity as a consumer and supplier of information. These beliefs and principals are the ones that we carry with us in hope of being accepted and received by you. These are the beliefs and principals that make up the core of the Boston University Data Science Association. Our goals are to:??Become your gateway to the plethora of data science and statistical events happening in theBoston area and Boston University??Build a framework within which you may explore your own interests, while learning andpracticing data science/statistics and data science/statistical tools??Connect you with professionals and experts in data science/statistics and its applications??Create and inform opportunities for your personal development in areas such as research,internship, communication, presentation, and group work??Bring together students of diverse backgrounds and interests to socialize, connect, network, andhave fun!",https://bu-data-science-association.github.io/budsa/,https://www.instagram.com/bu_dsa/,,,,success,,,,,,,,,,,,,,,,,,
Community Gardens at BU,https://terriercentral.bu.edu/organization/bugardens,warrengarden.bu@gmail.com,Boston University has a dedication and an obligation to advance climate resilience goals such as strong communities and local food systems. Join this club to help build a greener campus ecosystem with fresh local produce and learn about food production!,,https://www.instagram.com/bucommunitygarden/?hl=en,,,,success,,,,,,,,,,,,,,,,,,
Bug Club,https://terriercentral.bu.edu/organization/bugclub,lindens@bu.edu,"The Bug Club offers a community that engages students in the study of insects, known as entomology. Through discussion panels, guest speakers, group events, and club field trips we explore the various applications that insects have such as in our economy, medicine, as a food source, and in various fields of research. Feel free to hop in a meeting. We don't bite ;)",,https://www.instagram.com/bubugclub/,,,,success,,,,,,,,,,,,,,,,,,
Gliding &amp; Soaring at Boston University,https://terriercentral.bu.edu/organization/bugliding,terriergliding@gmail.com,"The Boston University Gliding &amp; Soaring Club is a recreational group offering gliding and soaring experiences, aviation events, and glider training. We provide a range of activities, including VR simulators, ground school, and affordable gliding opportunities for aviation enthusiasts. Our events include glider build nights, movie nights, resume workshops, and talks with experienced professionals in the aviation industry. Our club is open to anyone interested in gliding and soaring. Whether you're a seasoned pilot or new to aviation, join our community of like-minded individuals who share a passion for the skies!",https://terriergliding.wixsite.com/bugliding,https://www.instagram.com/bugliding/,,,https://youtube.com/@terriergliding?si=WIPSHUEFMxYGZxP7,success,,,,,,,,,,,,,,,,,,
